	text	sentiment
0	YOU HYPOCRITE	angry
1	Don't make a DAMN personal comment on me.	angry
2	Just in case you haven’t noticed, you are ugly both mentally and physically. Other than that? You are totally fine!	sar
3	you better apologize.	angry
4	Time flies when I’m with you… Well, it’s because I zone out mostly.	sar
5	Behind my smile is everything you’ll never understand.	sad
6	My mind is killing me.	sad
7	Excuse me, and pardon my interruption, but would you mind considering helping me to find out what makes you so repulsive!	sar
8	If you were a box of crayons, you'd be the giant name-brand one with the built-in sharpener.	happy
9	Don't teach me manners.	angry
10	There was nowhere now to go	sad
11	Sarcasm is the secret language that everyone uses when they want to say something mean to your face.	sar
12	I am busy saving everyone else when I can't even save myself.	sad
13	Looks are only skin deep but ugly goes right to the bone.	sar
14	This is what it felt like to have a broken heart. It felt less like a cracking down the middle and more like she had swallowed it whole and it sat bruised and bleeding in the pit of her stomach.	sad
15	Don't make jokes like that.	angry
16	You really seem to know who you are. I admire that.	happy
17	I sometimes feel like life is just one big test to see how long we can survive Until we Lost Everything.	sad
18	I just lost my dignity.	sad
19	Your name suits you to a T.	happy
20	I just want to feel like I belong..	sad
21	I close my eyes and dream of a time when I wasn’t all alone.	sad
22	Nobody gets excited about the future at all, ever. The future is something we find depressing and worrisome.	sad
23	I let you know when I start to care….Check back in about five years.	sar
24	You're more helpful than you realize.	happy
25	I DON'T NEED YOUR HELP	angry
26	I don’t want to say I told you so. Because I just did.	sar
27	I’ll try being nicer, if you try being smarter.	sar
28	Emptiness feels so heavy.	sad
29	Damaged people are dangerous, they know they know they can survive.	sad
30	You can see many smiles everyday, but you can never know whose world is actually upside down.	sad
31	Why does it always rain on me?	sad
32	I became so religious so that I could pray for you to burn in hell.	sar
33	No shit Sherlock!	sar
34	Your passport looks like some horror- booth application.	sar
35	It’s raining in my heart like it’s raining in the city. What is this sadness that pierces my heart?	sad
36	The sun kept on with its slipping away, and I thought how many small good things in the world might be resting on the shoulders of something terrible.	sad
37	You are unable to respond to their points.	angry
38	The people you love are lucky to have you in their lives.	happy
39	Sometimes I wish I were a little kid again, skinned knees are easier to fix than broken hearts.	sad
40	Being ignored, worst feeling ever.	sad
41		happy
42	I ain’t sleeping. I am just looking into my eyelids.	sar
43	Find your patience before I lose mine.	sar
44	Oh I’m sorry, were we supposed to dress stupid today?	sar
45	I am not bad. I am just dangerously awful.	sar
46	You look good when your eyes are closed, but you look the best when my eyes closed.	sar
47	Time flies by when you’re insulting people.	sar
48	60% of the time, it works every time!!	sar
49	It’s sad how people become what they had promised they never will.	sad
50	Monsters don’t sleep under your bed, they scream inside of your head.	sad
51	Look at my face and tell me if it looks like I care.	sar
52	When I'm down you always say something encouraging to help me feel better.	happy
53	Are you always this retarded or are you making a special effort today?	sar
54	I need a break from the loneliness that is totally consuming me.	sad
55	Oh… I didn’t tell you… Then It must be none of your business	sar
56	Zombies eat brains. You’re safe.	sar
57	I became sad for no reason at all.	sad
58	You look so young!	happy
59	Get lost.	angry
60	When life seems not to go the way we want, it sucks, and all we want is to die ASAP.	sad
61	Death seems more inviting than Life.	sad
62	How could I possibly refuse? No thank you.	sar
63	No one is there for me.	sad
64	I am angry.	angry
65	Sometimes I feel like a motherless child.	sad
66	Save me from my reality.	sad
67	It’s hard to wait around for something that you know might not happen but it’s even harder to give up, when you know it’s everything you ever wanted.	sad
68	Death comes to us all; we can only choose how to face it when it comes.	sad
69	If you don’t want a sarcastic answer, don’t ask a stupid question.	sar
70	We are responsible for what we do unless we are celebrities.	sar
71	I'm happy to see you.	happy
72	Your anger is your problem.	angry
73	I was born with an enormous need for affection and a terrible need to give it….	sad
74	I disappoint myself.	sad
75	You're wonderful.	happy
76	DON'T TEST MY PATIENCE.	angry
77	Be patient and tough; some day this pain will be useful to you.	sad
78	Some say the grass isn’t always greener on the other side…I say…. Depends on where you live.	sar
79	Oh… Sorry… Did you mistake me for someone who cares?	sar
80	Don’t be so humble – you are not that great.	sar
81	BE SERIOUS?	angry
82	You look so young.	happy
83	If you had to choose a name for my dog! It would for sure be yours! For loyalty purposes.:)	sar
84	Just because some people don’t cry, doesn’t mean they’re not suffering.	sad
85	You're a great example to others.	happy
86	If you’re one in a million, there are six thousand people exactly like you.	sar
87	Do I know Sarcasm? Why yes he’s my best friend…	sar
88	Somehow you make time stop and fly at the same time.	happy
89	Sadness does not come from bad circumstances. It comes from bad thoughts.	sad
90	If you’ve never met the devil in the road of life, its because you’re both heading in the same direction.	sar
91	You deserve a hug right now.	happy
92	You almost made me cry but then you left.	sar
93	When people say I am cheap and still they can’t afford me!	sar
94	Cancel my subscription because I don’t need your issues.	sar
95	No one can hurt me when I am alone.	sad
96	Your head is just there to keep your ears apart.	sar
97	Tell me about your problems again. ‘Cause I care SO much about your problems.	sar
98	The pleasure of remembering had been taken away from me. Because there was no longer anyone to remember with.	sad
99		sad
100	I feel like waiting for something that isn't going to happen.	sad
101	I am scared to tell people how much it hurts, so I keep it to myself.	sad
102	Are you asleep??? Nope	sar
103	Tact is for people not witty enough to be sarcastic.	sar
104	Thank you	happy
105	You are an excellent friend.	happy
106	You’re in shape, bearing in mind that ’round’ is a shape…	sar
107	I’m not sarcastic. I’m just intelligent beyond your understanding.	sar
108	stop continuing like a broken record.	angry
109	I’m told that familiarity breeds contempt … Well I feel I’ve know you forever.	sar
110	Your creative potential seems limitless.	happy
111	You are enough.	happy
112	Instead of wiping your tears, wipe away the people who create them.	sad
113	Silence is golden. duct tape is silver.	sar
114	When you make a mistake, you try to fix it.	happy
115	Oooohhh…soooo sorry..you must be mistaking me for someone who cares…	sar
116	When you quit fearing pain, when you learn to love the pain, you will lose all fear of everything.	sad
117	I don’t know what you’re problem is. . . But I’m pretty sure it’s hard to pronounce.	sar
118	The worst kind of sad is not able to explain why.	sad
119	Some of the most painful scars: the ones that hurt the most are the scars that can’t be seen.	sad
120	I want to be happy but something inside me screams that I do not deserve it.	sad
121	Babies and small animals probably love you.	happy
122	No, I’m not ignoring you…I just lost interest in what you were about to say.	sar
123	I don’t depend on people anymore because I’m tired of being disappointed.	sad
124	My future looks bad	sad
125	speak for yourself.	angry
126	If had a dollar for every smart thing you say. I’ll be poor.	sar
127	Sometimes I start to think that suicide is the only way out to find the Solution.	sad
128	DON'T YOU DARE CROSS THE LINE WITH ME.	angry
129	I'm so jealous of your garden, shoes or keyboarding skills.	happy
130	There’s a special place in Hell for people like you.	sar
131	HOW DARE YOU?	angry
132	Oh yea you look so pretty I can’t take it.	sar
133	I am trying to make a point to you.	angry
134	When I’m upset. I shut myself Off. I have no motivation for Doing anything New.	sad
135	Temporary happiness isn’t worth long term pain…	sad
136	YOU ARE THE MOST IGNORANT PERSON I HAVE EVER MET.	angry
137	Your perspective is refreshing.	happy
138	"In high school I bet you were voted ""most likely to keep being awesome."""	happy
139	I like the way you are.	happy
